Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pastikan User dapat mengakses Landing Page,Chrome 94.0.4606.81,,,2021-10-13 08:37:26,2021-10-13 08:37:40,13.573s,PASSED
,,,,,,,
Test Cases/CustomKeyword/Open Browser,Chrome 94.0.4606.81,,,2021-10-13 08:37:27,2021-10-13 08:37:30,3.285s,PASSED
"openBrowser("""")",Chrome 94.0.4606.81,,,2021-10-13 08:37:27,2021-10-13 08:37:30,2.621s,PASSED
maximizeWindow(),Chrome 94.0.4606.81,,,2021-10-13 08:37:30,2021-10-13 08:37:30,0.176s,PASSED
,,,,,,,
Test Cases/CustomKeyword/Nevigate To Url,Chrome 94.0.4606.81,,,2021-10-13 08:37:30,2021-10-13 08:37:32,2.387s,PASSED
navigateToUrl(BASE_URL),Chrome 94.0.4606.81,,,2021-10-13 08:37:31,2021-10-13 08:37:32,1.742s,PASSED
,,,,,,,
Test Cases/User/Landing Page/Positive Case/Pastikan user dapat mengakses Landing Page Pijar Belajar,Chrome 94.0.4606.81,,,2021-10-13 08:37:32,2021-10-13 08:37:40,7.337s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Open Browser""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-13 08:37:33,2021-10-13 08:37:35,1.744s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Nevigate To Url""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-13 08:37:35,2021-10-13 08:37:36,1.496s,PASSED
"scrollToElement(findTestObject(""Landing Page/h1_Pijar Belajar""), 2)",Chrome 94.0.4606.81,,,2021-10-13 08:37:36,2021-10-13 08:37:37,0.516s,PASSED
"scrollToElement(findTestObject(""Landing Page/h2_Alasan kamu menggunakan  Pijar Belajar""), 2)",Chrome 94.0.4606.81,,,2021-10-13 08:37:37,2021-10-13 08:37:37,0.393s,PASSED
"scrollToElement(findTestObject(""Landing Page/h2_Our Feature""), 2)",Chrome 94.0.4606.81,,,2021-10-13 08:37:37,2021-10-13 08:37:37,0.360s,PASSED
"click(findTestObject(""Landing Page/button_Our Feature_swiper-button-next""), STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-13 08:37:37,2021-10-13 08:37:38,0.473s,PASSED
"click(findTestObject(""Landing Page/button_Our Feature_swiper-button-prev""))",Chrome 94.0.4606.81,,,2021-10-13 08:37:38,2021-10-13 08:37:39,1.083s,PASSED
"scrollToElement(findTestObject(""Landing Page/h2_Get connect with us""), 0)",Chrome 94.0.4606.81,,,2021-10-13 08:37:39,2021-10-13 08:37:39,0.468s,PASSED
"scrollToElement(findTestObject(""Landing Page/h3_Download Pijar Belajar""), 0)",Chrome 94.0.4606.81,,,2021-10-13 08:37:39,2021-10-13 08:37:40,0.338s,PASSED
